Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_1,486,279,19,15,10,17,0,m,Mar 14 2017
User_2,401,"5,509",342,360,440,428,0,f,
User_3,463,453,293,65,68,149,4,f,
User_4,154,"1,231","1,477",53,22,35,3,m,
User_5,786,"9,620",421,623,1299,544,0,m,
User_6,405,"1,282",370,123,135,145,2,m,
User_7,638,"2,312",365,466,511,318,0,m,
User_8,73,"1,819",852,343,435,333,0,f,
User_9,600,"2,056",606,130,102,160,1,f,
User_10,57,"2,403","1,663",912,740,1005,0,f,
User_11,400,"7,355","4,285",943,1102,1252,1,m,
User_12,392,"9,071",189,757,1209,733,0,m,
User_13,"1,095",681,"1,238",50,69,33,1,m,
User_14,199,"2,826",327,277,337,296,0,m,
User_15,232,"1,016","1,066",190,231,230,0,f,
User_16,691,"2,864",447,94,97,94,1,m,
User_17,718,955,619,56,75,126,6,f,
User_18,648,"6,046","1,244",84,41,69,1,m,
User_19,155,187,281,10,12,6,4,m,
User_20,985,266,33,16,13,6,2,f,
User_21,330,"1,364","1,150",241,220,240,9,f,
User_22,108,391,175,33,24,30,9,m,
User_23,379,775,712,99,235,61,5,f,
User_24,378,"2,425","1,349",164,213,97,9,f,
User_25,129,"2,625",852,362,359,366,9,m,
User_26,200,536,190,91,54,56,7,f,
User_27,434,849,"1,255",157,110,83,8,m,
User_28,153,"1,432",811,245,212,205,9,m,
User_29,734,"1,072",191,41,153,185,6,f,
User_30,465,897,765,121,176,139,9,m,
User_31,98,"1,192","7,497",81,46,208,8,m,
User_32,140,"1,693","6,260",22,27,50,0,f,
User_33,429,625,"1,286",8,14,6,0,m,
User_34,139,990,372,327,216,213,6,m,
User_35,71,350,95,43,34,34,1,m,
User_36,470,562,533,8,20,9,1,m,
User_37,92,"1,214",260,228,66,84,3,m,
User_38,167,"4,869","3,898",339,337,297,7,m,
User_39,883,"4,666","7,432",157,123,162,8,m,
User_40,"1,337",290,204,19,18,18,0,m,
User_41,445,323,193,71,72,82,9,f,
User_42,77,"1,557","1,686",381,519,446,3,m,
User_43,67,"5,697",809,1326,1175,1387,0,f,
User_44,822,631,266,113,107,53,4,m,
User_45,"1,155","4,198",642,838,513,480,9,f,
User_46,107,267,234,40,49,33,0,m,
User_47,119,385,331,47,30,71,5,m,
